First Name,Last Name,Description,IsContribution,Amount,Date Contribution,Contribution/Expenditure On Behalf Of,Name of Candidate/Public Official/Ballot Issue,Expenditure Purpose,Beneficiary,Filing Period,Date Added
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC ,Ray for District 34,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:14
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC ,Micaela Cadena Commitee to Elect,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:14
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC ,Natalie for New Mexico ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:13
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC ,Joy Garratt Committee to Elect,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:11
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC,William Pratt 27 Campaign ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:10
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC,Abbas Akhil for NM,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:09
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC,Dayan Huchmala Vigil New Day for NM,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:08
Marco,Gonzales,Candidate,2,250,12/5/2018,United Supermarkets LLC,Anthony Allison for NM House,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:06
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,Nathan Small for NM House of Representatives,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:05
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,Cisco McSorely for NM State Senate,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:05
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,Clemente Sanchez for NM State Senate,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:04
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,Moe Maestas for NM House ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:02
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,Doreen Gallegos for NM House of Representatives ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:01
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,Mary Kay Pappen for NM State Senate,NULL,NULL,2019 January Lobbyist Report,1/15/2019 8:00
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,Patty Lundstrom for NM House of Representatives,NULL,NULL,2019 January Lobbyist Report,1/15/2019 7:59
Marco,Gonzales,Candidate,2,500,12/4/2018,United Supermarkets LLC,John Arthur Smith for NM State Senate,NULL,NULL,2019 January Lobbyist Report,1/15/2019 7:58
Marco,Gonzales,Candidate,2,1000,12/4/2018,United Supermarkets LLC,Peter Wirth for NM State Senate,NULL,NULL,2019 January Lobbyist Report,1/15/2019 7:57
Marco,Gonzales,Candidate,2,1000,12/4/2018,United Supermarkets LLC,Brian Egolf for NM House of Representatives,NULL,NULL,2019 January Lobbyist Report,1/15/2019 7:56
Joshua ,Phair,Candidate,2,500,10/29/2018,Walmart Inc.,Committee to Elect Brian Egolf,NULL,NULL,2019 January Lobbyist Report,1/15/2019 7:49
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Carlos Cisneros ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:59
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Mimi Stewart,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:59
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Stuart Ingle,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:58
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Clemente Sanchez ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:58
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,John Arthur Smith ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:58
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Peter Wirth ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:58
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Mary Kay Papen,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:57
Arthur,Hull,Candidate,2,1500,12/19/2018,Hull Consulting ,Brian Egolf ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:57
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Georgene Louis,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:57
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Wanda Johnson ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:56
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Candie Sweetser ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:56
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Nathan Small ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:51
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Rudy Martinez,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:48
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Henry Garcia ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:48
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Debra Sariana ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:46
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Sheryl Williams Stapleton ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:46
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Jim Trujillo ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:44
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Linda Trujillo ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:44
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Doreen Gallegos ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:43
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Joanne Ferrary,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:42
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Daymon Ely ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:42
Arthur,Hull,Candidate,2,500,12/19/2018,Hull Consulting ,Gail Chasey ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:41
Arthur,Hull,Candidate,2,500,11/3/2018,Hull Consulting ,Liz Thompson ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:40
Arthur,Hull,Candidate,2,1000,10/25/2018,Hull Consulting ,Antonio Maestas ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:39
Arthur,Hull,Candidate,2,5500,12/30/2018,Hull Consulting ,Michelle Lujan Grisham ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:38
Arthur,Hull,Candidate,2,1500,10/18/2018,Hull Consulting ,Monica Youngblood ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:37
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,Jacob Candelaria ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:36
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,James Strickler ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:36
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,Rod Montoya ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:35
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,Lisa Shin ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:34
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,David Adkins ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:33
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,Brad Winter ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:33
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,Kelly Fajardo ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:32
Arthur,Hull,Candidate,2,1000,10/18/2018,Hull Consulting ,Sharon Clahehischilliage,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:31
Arthur,Hull,Political Contribution,2,4000,10/18/2018,Hull Consulting ,Affordable Energy ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:30
Arthur,Hull,Political Contribution,2,4000,10/18/2018,Hull Consulting ,New Majority ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:29
Arthur,Hull,Political Contribution,2,4000,10/18/2018,Hull Consulting ,Prosperous New Mexico ,NULL,NULL,2019 January Lobbyist Report,1/15/2019 6:28
Arthur,Hull,Meal and Beverage Expenses,1,2205.4,12/31/2018,Hull Consulting ,Various ,Inform and discuss concerns with elected officials ,Various:  none over $100,2019 January Lobbyist Report,1/15/2019 6:20
Arthur,Hull,Meal and Beverage Expenses,1,1375.68,10/31/2018,Hull Consulting ,Various ,Inform and discuss concerns with elected officials ,Various:  none over $100,2019 January Lobbyist Report,1/15/2019
Arthur,Hull,Meal and Beverage Expenses,1,2016.93,11/30/2018,Hull Consulting ,Various ,Inform and discuss concerns with elected officials ,Various:  none over $100,2019 January Lobbyist Report,1/15/2019
Arthur,Hull,Candidate,2,1000,12/30/2018,Hull Consulting ,Deborah Armstrong ,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Candidate,2,1000,10/16/2018,Pharmaceutical Research and Manufacturers of America,Debbie Armstrong for New Mexico,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Political Contribution,2,500,10/15/2018,Pharmaceutical Research and Manufacturers of America,Committee to Elect Richard Martinez,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Political Contribution,2,500,10/15/2018,Pharmaceutical Research and Manufacturers of America,Committee to Elect Patty Lundstrom,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Political Contribution,2,1000,10/15/2018,Pharmaceutical Research and Manufacturers of America,Morales 4 New Mexico,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Political Contribution,2,500,10/16/2018,Pharmaceutical Research and Manufacturers of America,People for Mimi Steward,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Political Contribution,2,500,10/16/2018,Pharmaceutical Research and Manufacturers of America,Friends of Liz Stefanics,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Political Contribution,2,500,10/16/2018,Pharmaceutical Research and Manufacturers of America,Foward New Mexico Political Action Committee,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Jeff,Woodhouse,Political Contribution,2,500,10/15/2018,Pharmaceutical Research and Manufacturers of America,Joseph Sanchez for New Mexico,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/26/2018,Everytown for Gun Safety Action Fund,Abbas Akhil,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,5500,10/26/2018,Everytown for Gun Safety Action Fund,Brian Egolf,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,1000,10/26/2018,Everytown for Gun Safety Action Fund,Alexis Jimenez,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/26/2018,Everytown for Gun Safety Action Fund,Angelica Rubio,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/26/2018,Everytown for Gun Safety Action Fund,Brian Egolf,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/26/2018,Everytown for Gun Safety Action Fund,Matthew McQueen,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/26/2018,Everytown for Gun Safety Action Fund,Rudy Martinez,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Candidate,2,2500,10/26/2018,Everytown for Gun Safety Action Fund,Willie Madrid,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Dayan Hochman-Vigil,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Andrea Romero,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Billie Helean,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Elizabeth Thomson,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Joanne J. Ferrary,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Joy Garratt,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Micaela Lara Cadena,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Daymon Ely,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Debbie Armstrong,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/1/2018,Everytown for Gun Safety Action Fund,Doreen Gallegos,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Christine Chandler,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Karen Whitlock,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Karen Bash,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Melanie Stansbury,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Natalie Figueroa,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Nathan Small,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Christine Trujillo,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Emily,Walton,Political Contribution,2,2500,10/17/2018,Everytown for Gun Safety Action Fund,Jessica Velasquez,NULL,NULL,2019 January Lobbyist Report,1/15/2019
Marla ,Shoats,Political Contribution,2,250,11/1/2018,Advocate 4 NM Inc. ,CTE Monica Youngblood ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 22:49
Marla ,Shoats,Political Contribution,2,150,11/1/2018,Advocate 4 NM Inc. ,CTE Tim Eichenberg,NULL,NULL,2019 January Lobbyist Report,1/14/2019 22:47
Marla ,Shoats,Political Contribution,2,150,11/1/2018,Advocate 4 NM Inc. ,CTE Tanya Giddings,NULL,NULL,2019 January Lobbyist Report,1/14/2019 22:46
Marla ,Shoats,Political Contribution,2,150,10/22/2018,Advocate 4 NM Inc. ,CTE Jason Harper ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 22:45
Marla ,Shoats,Political Contribution,2,150,10/16/2018,Advocate 4 NM Inc. ,CTE Mimi Stewart ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 22:44
Sandra,Adondakis,Candidate,2,25,10/3/2018,Sandra Adondakis, Micaela Lara Cadena,NULL,NULL,2019 January Lobbyist Report,1/14/2019 22:12
Jason,Thompson,Candidate,2,59,10/24/2018,Jason Thompson - Personal,Michelle Lujan Grisham Birthday Fundraiser ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:30
Jason,Thompson,Political Contribution,2,350,11/1/2018,NM Horsemen's Assoc.,Committee to Re-Elect Matthew McQueen,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:28
Jason,Thompson,Political Contribution,2,350,11/1/2018,NM Horsemen's Assoc.,Committee to Re-Elect Gail Chasey,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:27
Jason,Thompson,Political Contribution,2,350,11/1/2018,NM Horsemen's Assoc.,Committee to Re-Elect Bill Rehm ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:27
Jason,Thompson,Political Contribution,2,350,10/9/2018,NM Horsemen's Assoc.,Committee to Re-Elect Tim Lewis,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:25
Jason,Thompson,Political Contribution,2,350,10/9/2018,NM Horsemen's Assoc.,Committee to Re-Elect Harry Garcia,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:24
Jason,Thompson,Political Contribution,2,350,10/9/2018,NM Horsemen's Assoc.,Committe to Re-Elect Greg Nibert,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:24
Jason,Thompson,Political Contribution,2,350,10/9/2018,NM Horsemen's Assoc.,Committee to Re-Elect Nathan Small,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:23
Jason,Thompson,Political Contribution,2,350,10/9/2018,NM Horsemen's Assoc.,Committee to Re-Elect David Adkins ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:20
Dan ,Weaks,Candidate,2,200,10/25/2018,self,Sheryl Williams Stapleton,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:12
Dan ,Weaks,Candidate,2,200,10/25/2018,self,George Dodge,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:11
Dan ,Weaks,Candidate,2,300,10/25/2018,self,Patricia Lundstrum,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:11
Dan ,Weaks,Candidate,2,200,10/25/2018,self,Damon Eli,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:10
Dan ,Weaks,Candidate,2,200,10/25/2018,self,Gail Chasey,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:10
Dan ,Weaks,Candidate,2,200,10/25/2018,self,Patricio Ruiloba,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:09
Dan ,Weaks,Candidate,2,200,10/25/2018,self,Jason Harper,NULL,NULL,2019 January Lobbyist Report,1/14/2019 21:08
Dan ,Weaks,Entertainment Expenses,1,230.27,11/29/2018,self,Gruet Winery,reception for legislators,legislators,2019 January Lobbyist Report,1/14/2019 21:08
Dan ,Weaks,Meal and Beverage Expenses,1,1824.64,12/18/2018,self,Hotel Albuquerque,Reception for legislators,Bernalillo County ,2019 January Lobbyist Report,1/14/2019 21:06
Dan ,Weaks,Meal and Beverage Expenses,1,235,12/18/2018,self,Bull Ring,Dinner,Revenue Stabilization and Tax Policy Committee,2019 January Lobbyist Report,1/14/2019 21:04
Dan ,Weaks,Meal and Beverage Expenses,1,733.32,11/10/2018,NMHA,Courtyard Marriott ,Meeting,Health and Human Services Committee and the Nurses Association and NMHA,2019 January Lobbyist Report,1/14/2019 21:03
Dan ,Weaks,Meal and Beverage Expenses,1,75.53,11/18/2018,self,Bull Ring,Dinner,Veterans Affairs Committee,2019 January Lobbyist Report,1/14/2019 21:01
Dan ,Weaks,Meal and Beverage Expenses,1,217.48,11/15/2018,self,St Clair Winery,Reception,Representative Powdrell-Culbert,2019 January Lobbyist Report,1/14/2019 20:59
Jerrod,Jones,Candidate,2,1500,9/26/2018,Exxon Mobil Corporation ,David E. Adkins,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:52
Jerrod,Jones,Candidate,2,1000,9/26/2018,Exxon Mobil Corporation ,Clemente Sanchez,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:51
Jerrod,Jones,Candidate,2,500,9/26/2018,Exxon Mobil Corporation ,Cathrynn N. Brown,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:46
Jerrod,Jones,Candidate,2,1000,9/26/2018,Exxon Mobil Corporation ,Carlos Cisneros ,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:46
Jerrod,Jones,Candidate,2,500,9/26/2018,Exxon Mobil Corporation ,Candy Spence Ezzell,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:45
Jerrod,Jones,Candidate,2,1000,9/26/2018,Exxon Mobil Corporation ,Candace Gould,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:44
Jerrod,Jones,Candidate,2,2000,9/26/2018,Exxon Mobil Corporation ,Brian Egolf,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:43
Jerrod,Jones,Candidate,2,1500,9/26/2018,Exxon Mobil Corporation ,Brad Winter,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:43
Jerrod,Jones,Candidate,2,1500,9/26/2018,Exxon Mobil Corporation ,Alonzo Baldonado,NULL,NULL,2018 October Lobbyist Report,1/14/2019 20:42
Terri Nikole,Baca,Meal and Beverage Expenses,1,235.49,12/17/2018,AT&T,The Bull Ring Restaurant,Sponsorship of Interim Committee on Revenue Stabilization and Tax Policy Committee Dinner,Interim Legislative Committee,2019 January Lobbyist Report,1/14/2019 19:49
Jason,Weaks,Candidate,2,750,10/25/2018,The Weaks Law Firm - Jason Weaks,Michelle Lujan Grisham,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:24
Jason,Weaks,Political Contribution,2,500,10/25/2018,The Weaks Law Firm - Jason Weaks,A Prosperous NM PAC,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:24
Jason,Weaks,Candidate,2,150,10/25/2018,The Weaks Law Firm - Jason Weaks,Ray Lara ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:22
Jason,Weaks,Candidate,2,250,10/12/2018,The Weaks Law Firm - Jason Weaks,Damon Ely,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:22
Jason,Weaks,Candidate,2,150,10/11/2018,The Weaks Law Firm - Jason Weaks,Kelly Fajardo,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:21
Jason,Weaks,Candidate,2,250,10/11/2018,The Weaks Law Firm - Jason Weaks,Candie Sweetser,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:21
Jason,Weaks,Candidate,2,150,10/11/2018,The Weaks Law Firm - Jason Weaks,Bill Rehm,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:20
Jason,Weaks,Candidate,2,200,10/11/2018,The Weaks Law Firm - Jason Weaks,Alonzo Baldonado,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:20
Jason,Weaks,Candidate,2,250,10/10/2018,The Weaks Law Firm - Jason Weaks,Egolf Speaker Fund,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:19
Jason,Weaks,Candidate,2,150,10/11/2018,The Weaks Law Firm - Jason Weaks,Eliseo Alcon,NULL,NULL,2019 January Lobbyist Report,1/14/2019 18:19
Jason,Weaks,Candidate,2,250,11/2/2018,The Weaks Law Firm - Jason Weaks,Joanne Ferrary,NULL,NULL,2019 January Lobbyist Report,1/14/2019 17:43
Jason,Weaks,Candidate,2,400,12/30/2018,The Weaks Law Firm - Jason Weaks,Dayan Hochman,NULL,NULL,2019 January Lobbyist Report,1/14/2019 17:42
Joseph,Thompson,Political Contribution,2,150,10/3/2018,Joseph Thompson, Gail Chasey Re-Elect,NULL,NULL,2019 January Lobbyist Report,1/14/2019 17:38
Joseph,Thompson,Political Contribution,2,2500,12/30/2018,"The GEO Group, Inc.",PAC22,NULL,NULL,2019 January Lobbyist Report,1/14/2019 17:11
Joseph,Thompson,Political Contribution,2,2500,12/30/2018,"The GEO Group, Inc.",Senate Majority -Leadership Fund,NULL,NULL,2019 January Lobbyist Report,1/14/2019 17:10
Mark,Duran,Candidate,2,200,10/24/2018,"Mark Duran and Associates, Inc.",Committee to Elect Derrick Lente,NULL,NULL,2019 January Lobbyist Report,1/14/2019 16:17
Mark,Duran,Meal and Beverage Expenses,1,300.57,12/12/2018,"Mark Duran and Associates, inc.",Two Sprouts Farms,Lunch,Legislative Finance Committee,2019 January Lobbyist Report,1/14/2019 16:15
Mark,Duran,Meal and Beverage Expenses,1,99.47,12/4/2018,"Mark Duran and Associates, Inc.",Dashing Delivery,Lunch,Legislative Finance Committee,2019 January Lobbyist Report,1/14/2019 16:14
Pablo ,Sedillo,Political Contribution,2,195.32,10/9/2018,Pablo Sedillo,Michelle Lujan Grisham,NULL,NULL,2019 January Lobbyist Report,1/14/2019 15:25
Kristina,Fisher,Political Contribution,2,35,10/18/2018,Self,CVNM Action Fund,NULL,NULL,2019 January Lobbyist Report,1/14/2019 15:09
Frederic,Nathan,Candidate,2,250,10/4/2018,Self,Michelle Lujan Grisham for Governor,NULL,NULL,2019 January Lobbyist Report,1/14/2019 15:07
Marla ,Shoats,Political Contribution,2,5500,11/2/2018,Select Energy Services ,CTE Rep. Steve Pearce ,NULL,NULL,2019 January Lobbyist Report,1/14/2019 14:49
Thomas,Sellers,Meal and Beverage Expenses,1,17.73,10/8/2018,,N/A,Aggregate Amount,N/A,2019 January Lobbyist Report,1/14/2019 14:40
Thomas,Sellers,Meal and Beverage Expenses,1,218.28,12/7/2018,,N/A,Aggregate Amount,N/A,2019 January Lobbyist Report,1/14/2019 14:39
Thomas,Sellers,Meal and Beverage Expenses,1,78.63,12/8/2018,,N/A,Aggregate Amount,N/A,2019 January Lobbyist Report,1/14/2019 14:39
Matthew,Jaramillo,Meal and Beverage Expenses,1,230.11,12/31/2018,Various,Various,To inform elected officials on PNM issues,"Various, none exceeded by $100 per beneficiary",2019 January Lobbyist Report,1/14/2019 14:01
Matthew,Jaramillo,Meal and Beverage Expenses,1,194.88,11/30/2018,Various events,Various,To inform elected officials on PNM issues,"Various, none exceeded by $100 per beneficiary",2019 January Lobbyist Report,1/14/2019 14:00
Matthew,Jaramillo,Meal and Beverage Expenses,1,476.5,10/31/2018,Various events,Various,To inform elected officials on PNM issues,"Various, none exceeded by $100 per beneficiary",2019 January Lobbyist Report,1/14/2019 13:59
Leland,Gould,Candidate,2,500,10/1/2018,MARATHON PETROLEUM CORPORATION AND ITS SUBSIDIARIES (FKA ANDEAVOR),WILLIAM REHM,NULL,NULL,2018 October Lobbyist Report,1/14/2019 13:38
Leland,Gould,Entertainment Expenses,1,117.07,12/31/2018,MARATHON PETROLEUM CORPORATION AND ITS SUBSIDIARIES (FKA ANDEAVOR),AGGREGATE AMOUNT LESS THAN $75.00,AGGREGATE AMOUNT LESS THAN $75.00,AGGREGATE AMOUNT LESS THAN $75.00,2019 January Lobbyist Report,1/14/2019 13:36
David,Jaramillo,Candidate,2,100,10/26/2018,self,Linda Lopez,NULL,NULL,2019 January Lobbyist Report,1/14/2019 13:29
Leland,Gould,Candidate,2,500,10/10/2018,MARATHON PETROLEUM CORPORATION AND ITS SUBSIDIARIES (FKA ANDEAVOR),CANDANCE EZZELL,NULL,NULL,2019 January Lobbyist Report,1/14/2019 13:28
Leland,Gould,Candidate,2,500,10/25/2018,MARATHON PETROLEUM CORPORATION AND ITS SUBSIDIARIES (FKA ANDEAVOR),DAVID H. TOFSTED,NULL,NULL,2019 January Lobbyist Report,1/14/2019 13:28
